overall,reviewText,summary
1,"HUGO by Hugo Boss Men's C-Urder Wing Tip Oxford<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/HUGO-by-Hugo-Boss-Men-s-C-Urder-Wing-Tip-Oxford/dp/B0102K4ZD0/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">HUGO by Hugo Boss Men's C-Urder Wing Tip Oxford</a>","I am so dissapointed,they send me incorrect size, i loose money"
1,To smll ag doesn't run true to size...,One Star
1,Says XL...ha I'm a small & it barley fitting on me. Arms are too tight & rub spots on me that irritates the skin. Ordered for lounging around in warm pant's.  Can barely get it on,Terrible will not be able to use 
1,"Disappointed

Cheap look",One Star
1,"The picture here has little to do with the item you will receive.  They show a white shoe, which should be enough to rely on. They describe it as black and throw in brown as well, just to add confusion.  Footjoys are great, but this is misleading.",Buyer Beware
1,"El artculo nunca me llego , el proveedor no es confiable",One Star
1,Product is very dull old looking,One Star
1,"terribly made, they were falling apart the first time I wore them...",One Star
1,This is my second jonnie. The first one I love.  This one has an alternative lining. The inside tag is leather instead of metal and the unwrapping will make you cry. Usually with all of the Kooba's the metal tag has a little piece of protective stick plastic you can pull of this did not and it did not have the paper on the zippers either.  It has a smell to it. It's really strong and even if it's not fake leather it looks like it.  I read on a forum that the ones with the multicolored lining are fake leather.  I'm not sure how true this is but I'm embarrassed to carry it. It's going straight back for being smelly and unappealing.,The first one I love. This one has an alternative lining
1,"Cheap Chinese shirt.  Thin, too small, and the design came off in the wash after 2 laundry cycles.  Do not buy!",Cheap Junk
1,They are really very very tight I don't like them my kid didn't Like them 100% I will be returning and they're ugly looking,Very bad looking shoes I will be returning too tight
1,"The socks fit as expected.  During the day I noticed that the socks had rolled down to my ankles.  By the end of the day I had deep indentations all around the ankle.

My regular socks were starting to leave slight indentations around the calf at the end of the day.  So I was looking for something to be a little more comfortable.  I do not recommend these.",Socks Do Not Stay Up
1,"I ordered a large, but it fit like an extra small. This is how women get body issues.",Hurt my feelings and my waist
1,The shoes are comfortable until a whole opened on inside in insole on the heel. Very uncomfortable now cannot wear them and window for return is closed only wore them. 3 months,The shoes are comfortable until a whole opened on inside in insole on ...
1,"material is so cheap and definitely see through, and fitted small!",One Star
1,It was not even an under armour brand.  It was a knock off product.,One Star
1,Returned,One Star
1,I am tall. It is not what I expected.  O,One Star
1,Clip broke the first time I wore them.,Clip broke with first use
1,Way to largeeeee! Not what I was expecting at all,Size
1,Had to return this as it was very much larger and heavier than it seemed to be from the listing.,Much larger and heavier than I thought
1,"The top arrived with a grayish brown spot at the collar, and the pants had a gaping hole in them where they weren't even sewn together. There is obviously no quality control on this brand. Also, the picture clearly shows a vibrant pink color, and the product that arrived was closer to a peachy orange. Not what I was expecting. Please do yourself a favor and skip.",Terrible quality
1,Looks fake and feels fake,Fakest ring ever
1,"This pair of jeans are not straight leg,they are tapered leg and nearly skiny fit.not recommend it!",product is not as what discribed
1,Poor size chart . This fits a child in an xlarge .,Poor sizing !
1,"This bag is a worthless piece of crap! It's big, but the extremely poor quality of the material makes it unable to handle the load when filled.  I only had light weight clothes in this bag and it wasn't all the way filled, but it still sprung a hole in the fabric and the metal ring holding the strap broke on it's very first trip!",Worst thing I ever bought!!!
1,"The sizing is absolutely incorrect. The small is at least a large. When the pant leg measures to the middle of my chest, how could that be small?

I'm 5'2"" and I based my purchase on the pre-existing reviews. I do not recommend this brand: C'est Toi and I do not recommend this seller for not informing customers of this size disparity.",Horrid Sizing
1,"The dress looked used and washed when I opened the package. Also was too small even though it says 2X, it fit waaay smaller.",It was Already washed and worn when i opened the package!!
1,Just way too small. Not true to size at all. I can't even fit my shoulders into it.,One Star
1,This is horrible WAY to shiny it's not shiny in the picture but when received looked like an older ladies nighty. The back is cute but I just can't get over the shine. It also fits a little large and just drapes down doesn't show off any curves.,WAY to shiny and night gown looking
1,These were broken when I received them. They are also cheap looking.,One Star
1,"DO NOT BUY!!! FAKE CARTERS!!!! HORRIBLE YELLOW COLOR!!! DOESN""T LOOK ANYTHING LIKE THE PICTURE!! SMELLS LIKE CIGARRETTES!! SO DIGUSTING!!!",FAKE FAKE FAKE! DO NOT BUY!
1,Cheaply made material cheap,Pretty but very cheap material
1,chain to short the virgin marry is huge lol more for a guy but very pretty,One Star
1,"I was very dissapointed at this t-shirt. It looked NOTHING like the pictures, the colors were barely the same shade and there were many white splotches where the paint didn't get. If I were you, I'd save my money.",It looked NOTHING like the pictures
1,"I assumed these hats are fine however, they were damaged upon arrival.",Damaged product
1,It would of fit my 5 year old granddaughter. In fact I gave it to her for dress up! It was not made well very thin material and wadded up when wearing! I want order from that company again. I wanted to put no stars but it want post unless you rate it! So really they get no stars from me!,Unfit to wear
1,Not Ibex. Not Merino. Not wool. Not even quality cotton. Buyer beware this is absolute garbage. Why does Amazon even stock this crap?,Huge Scam
1,"It is not as at the picture (I bought yellow gold).
At the picture it is lightly yellow, in reality it is bright yellow.
and also it seems much more solid at the picture, in reality it is too tiny.
I am returning it",It is not as at the picture (I bought yellow ...
1,I purchased these as a Mother's Day gift for my mom to match the pendant I got for her for last Mother's Day.  She called yesterday & said one of the posts broke off as she was putting the back on. This was the first time wearing them. Would not recommend.,Disappointed!
1,Details wasn't very specific! Thought I was getting an Adult XL but instead received a youth xl and could not give it to my dad for his birthday! Very disappointed!! ,Very disappointed!! 
1,l don't like it because it's not long enough and also too small,One Star
1,I would like a refund it is to small,One Star
1,You will need to order about 2 sizes up. Mater,One Star
1,The zipper on this product broke after two uses.,One Star
1,Too small,Looks great
1,Heavy and chain scratches neck,Nope
1,Wasn't a men's shirt,One Star
1,i orderd a 16/18 and i got 20/22 very disapointed..!!,One Star
1,"Too Narrow, but cute!!!!",One Star
1,"It wasn't a good fit for me,  but maybe you.  I had to return it",This is a weird shirt
1,Ordered 2 sets and both broke within a month. Sad because they are so cute and just what I was looking for.,Sad because they are so cute and just what I ...
1,"I bought it three sizes too big and it was still too tight around my ribs. it was made okay but when I tried to return it, it took four months just to come back. I ended up spending an extra 23$ for postage.",I bought it three sizes too big and it was ...
1,Very small.. wrong size,One Star
1,Extremely tight on my son. Fabric is not soft and feels like sand paper. Bad purchase,Fabric is not soft and feels like sand paper
1,"It is not a tunic, very short actually. It is very small for an xl. My child is between large and extra large bit this xl might fit a medium sized child!!!! Very cute though and the material is awesome.",Don't go by the size
1,shirt and sticker is of very poor quality.,One Star
1,It was made for a kid no 50 year old woman could possibly fit it and it was a 2x,It was made for a kid no 50 year old ...
1,"After  wash and dry ,it getting so small like kids socks......",it getting so small like kids socks
1,One hoop wouldnt close. Not very good quality.,Not very good quality.
1,"I like the size and shape, but the lenses are so orange that you cant see colors right. Think of it as wearing ski goggles.  Everything looks like the movie 300 or the pictures from the mars rover. Its true that driving in them is hard because the green and yellow lights blend in with everything else. After having these a month, I dropped the review to one star, they're unwearable because of the lens color. Other than a replacement for the aforementioned ski goggles I don't see a use for these.",Lenses really distort color
1,"Little disappointed with this purchase, They are not the real Nike .... It's a knock off pair.",One Star
1,"Not worth the hassle.  Purchased to go on a trip, before we made it to the car from the house to head to the airport, the handle broke.  The wheels do not roll smoothly.  Better of with a regular suitcase w/wheels.  Poor product and cheaply made.",Not Good...
1,The  blouse is very smal,The blouse is very
1,The size medium was somewhat small and the fabric is see-through. I hated dealing with this company and I would never purchase anything from them again.,I hated dealing with this company and I would never purchase ...
1,Didn't like so well not as detailed as it look,Sand dollar
1,Dint feel good and looked cheap,Looked cheap
1,Somewhat small,One Star
1,"It dosen't look like in the picture.
The picture shows a lowrise jeans but they aren't.  They are very long too.",It dosen't look like in the picture
1,This would fit a 2 year old...,One Star
1,"First of all they were not  Joe Boxer, they were. Hanes not what I ordered",Not shipped as advertised
1,Same as another one I had posted on the top was small but the bottom large,One Star
1,Cheaply made & broke within a few days. . .,One Star
1,Very short and small,One Star
1,"Received package in good time.
Watch looks very good, but for some reason gains 5 to 7 minutes every 24 hours.
Have had to set it back every morning in the past week that I've had it.

UPDATE.
Watch stopped working within three weeks of writing this review. Didn't drop it or anything of the sort, it just up and died for no reason at all.
Shaking the watch vigorously would get the balance wheel oscillating for about 6 to 10 seconds, and then it would stop.
I have wound the watch by the dial per chance I haven't been active enough to have gotten the automatic mechanism wound up enough, but that has made no difference at all....nice watch when it worked.",Received package in good time. Watch looks very good
1,Horrible quality art work terrible,One Star
1,Cute backpack but the strap started to unravel and pulled apart the first week,Quality?
1,"Gosh, just wished I liked it more!  It was not cheap in construction or not very pretty in it's looks.  Just didn't fit right for me, but may be excellent for you.",Loved the look - just didn't sit right on my face.  Very high quality.
1,"I usually love Jules Smith Jewlery, but these rings are terrible.  Tarnished almost immediately, stones fell out, and, bonus (!) turned my finger green.  Bummer.",Terrible Crafstmanship
1,These were way too tight in the tie area and too wide over the rest of the shoe.,One Star
1,color did not match!!!!!!!!!!,One Star
1,Paper thin especially for a sweater. Ordered as a Christmas gift and completely humiliated at how thin and poor the material is.,Thin and Poorly made
1,sent back,One Star
1,Did not work at all. Pretty much glorified super glue.,Pretty much glorified super glue
1,Thought the came as a pair. They didn't.  Only one came. Only useable for women with rather large nipples.,Beware!  Not shipped as a pair!
1,My friend had ordered one that I wore once and loved so I decided to buy the same one (2XL)..mine came labeled as a 2x but it is noticeably smaller than my friends.. Careful,... friend had ordered one that I wore once and loved so I decided to buy the same one (2XL)
1,DEFECTIVE,DEFECTIVE
1,Good grammar!,One Star
1,"This was horrible. Do not buy this shirt. I used it as a car rag. The back looks awesome, but the front has jordan in small cheap letter on each side?? My son busted out laughing when he saw it. It would be ok if nothing was on the front. Do not buy this shirt!",This was horrible. Do not buy this shirt
1,"This is a beautiful piece.  Too nice for the quality I received.  After only 3 days, it went from a shiny tone to dark and rusty.  I even made sure to remove the necklace when I showered, exercised and even when I slept.  All to preserve it as long as possible, seeing it isn't expensive.  It tarnished so badly and in so short a time.  I'd rate this less than 1 star if it were an option.  Word of advice: save your money!  And look elsewhere.",Would not suggest you buy this!
1,It's extremely small and I have tiny wrists and it's cheaply made. When I opened it up it had so much negative energy that it made me physically sick. I would not recommend to buy anything like this without handling it first.,I would not recommend to buy anything like this without handling it first
1,Being pregnant I really hoped this product would be a good find however I have been nothing but disappointed.  The pants are cut above the ankle which isn't nice during the colder months. The pants cover the belly but barely cover your butt. There's only one elastic on this inside located on the right it has a big button which is uncomfortable and the elastic has been frayed since I got them. I reluctantly kept them and have barely worn them. When I put them on today I noticed that the center crotch sticking is coming apart and there are holes all along the stitching . I never should have kept them.,Terrible terrible terrible!
1,"Unfortunately, as cute as these earrings are, the stick completely fell apart as soon as I took them out of the packaging. I'm disappointed. Will be returning these.","Cheap, Easily Breaks"
1,I have to send these back. They run 2 sizes too small. They are like Biking shorts on my son,They are like Biking shorts on my
1,The pants are about 3 sizes too small. I don't recommend.,I don't recommend.
1,Don't waste your time.  Cheap. And won't take returns.,Trash
1,At least one full size too small.,Size way off
1,These are some of the most uncomfortable shoes I've ever worn. I'm used to 4 inch stillettos but there were tight and stiff and my feet killed after wearing them for a day while working at my desk job - meaning I barely walked around in them. They're a great classic shoe but just too painful to wear.,Horribly uncomfortable
1,"The Zebra pattern looks good and they fit as expected, but the material ripped in two different places as I was putting them on. Size chart is accurate. They are, by no means, too tight, if something they were a lot loser than expected. I am 28.5 waist and 38.5 hips and got the size 29. The material felt toasty like the pants have been under high temperatures for a long time,  and just ripped very easily. I feel like if I wear them I could suddenly get in trouble for indecent exposure :(",The Zebra pattern looks good and they fit as expected
1,Love the style but discolored after first use,One Star
1,When I received this dress it apparently had two large tears (where the material actually pulled apart and frayed) on the back of the dress. I didn't try it on until after my 30 days return period so now I am stuck with a dress I can't wear. I am very disappointed with the quality of this dress. Very poorly made.,Terrible quality!
1,Their is barely and I mean barely any space for ashes I got this for my mom 2 put my gramas ashes in n their is no room for any at all very upset but the piece is pretty but bigger than expected.,... any at all very upset but the piece is pretty but bigger than expected
1,too big for me,One Star
1,Soles separated from the tops after a few months of wear. Shortest lasting pair of shoes I've owned.,One Star
1,"Bought this as a Christmas gift, recipient did not like and neither did I.  The pendant is very large and the image of Jesus is very unattractive.  Sending this item back.",Very disappointed
1,These ripped after the second wear.,These ripped after the second wear.
1,I am returning this item due to poor quality. This look like some type of play item for kids.,poor poor poor quality.
1,"This review is for the solid black dress in large. I probably should have been able to tell by looking at the model but the dress is basically see through. The material is incredibly thin (think thick tissue paper). On the plus side the material was very soft so this would probably make a good swimsuit cover up if it fit. So let me talk about sizing. I am 5' 6"" with an athletic build and very consistently a medium to sometimes large. I ordered the large and it felt like I was trying to squeeze into a small/x-small. Nothing close to a large; I don't even know if I sized up another size if it would have a difference. Since it was so small on me I'm not sure that my description of the length is accurate except to say that it was uncomfortably short. I really think the only thing this dress is good for is a beach cover up but since the sizing is so off even that's a gamble. I had to return it because it was so small and overall poor quality.","Runs small, see through and short!"
1,"I ordered an XL, and though it was labeled an XL, it fit like a medium. The size chart was totally wrong and I decided it was not worth sending it back to China only to take the risk of receiving another shirt that was too small. I ended up giving the shirt to a female co-worker and it fither perfectly. So at least the shirt did not go to waste.",WAY TOO SMALL
1,Gotta say I love the design BUT the emblem on my hate was upside down. For example the drops were going upward instead of them going downward like they're supposed to. Love the emblem but it seems like they made it in a hurry and didn't notice the design was backwards,FALSE ADVERTISING
1,Made for a child.,One Star
1,"Total insulting rip-off! This is not Woolrich at all!!!!! This is not even cotton! This is some cheap, synthetic t-shirt that is amazingly, brazenly passed off as a quality product. There are loose threads at the edges of seams. It is small. I suppose the world includes people who have no integrity and are just looking for ways to make money with lies and theft. This is theft and lies. Don't buy it. Avoid this vendor. Total, blatent rip-off!",RIP-OFF!
1,Cheaply made crap!!!AVOID!!!,CRAP!!!
1,I had ordered a large and the arms are way too tight. Very disappointed!,Very disappointed!
1,"My son is 110 cm and 25 kg and I order a size 5 and turn to be a size of 2 years old kid is very small,the material has a good quality  but is to small :(",the material has a good quality but is to small
1,"This ""2xl"" would fit a normal sized medium & the picture on the front was not a licensed image... it's all blurry and wrong! Not having much luck with getting a refund either",Terrible
1,Don't waste your money,One Star
1,nothing like the picture and it had a big hole!!!!!,One Star
1,The front of the she looks like clown shoes.,One Star
1,glass and straps are poor quality,One Star
1,Loved them at first but didn't make it through the first day without getting a major run :(,One Star
1,"Ugly shoe in real life, extremely uncomfortable in the ankle, cheap looking suede scuffs and wears quickly, no way to polish or maintain the shoe, toe is both tight in fit and clunky in appearance, will not be buying Steve Madden ever again.",Both tight and clunky somehow
1,Dont even waste your time or money. These ear rings are crap  I had them for two days and they already fell apart.,They look like children ear rings not even for adults
1,Definitely not what I wanted doesn't look anything like the picture at all. What I got looks like someone cut a wig up and put glue all through it to make it stiff.  Not happy at all with it. No long strands of hair for the bang things. Looks like someone's old cum rag,Definitely not what I wanted doesn't look anything like the picture at all
1,Not worth its money.  Necklace is heavy and not  pretty.,don't bother
1,RETURNED because SMALL  came as LARGE,One Star
1,"Honestly, I can't see the coral in this.  It could be some stone dyed red with a clear coat on it.  You can see the clear coat on the metal of the earrings.

UPDATE: These earrings broke the first time I wore them.","Honestly, I can't see the coral in this. ..."
1,As pictured. Fits well. But the fabric pills and fuzzes up so easily. Wore it once to work with my work apron over it and the whole front is messed up. Quality not worth what you pay for it.,But the fabric pills and fuzzes up so easily. Wore it once to work with my work ...
1,the sunglasses were stretched out and very flimsy! Returned,One Star
1,"Ive gotten this item TWICE now, and it has come to me damaged both times. Not sure if this has happened to anyone else, but sadly Im giving up on this one.","Ive gotten this item TWICE now, and it has ..."
1,"Length not long as I had hoped, I'll keep it",One Star
